model,model_display,perturbation_type,level,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,f1_mean,f1_std
cfc,CfC-style,band_limited_noise,0.0,27.376543209876544,3.4075182713949266,24.757292801669728,29.99579361808336,0.1533492513850215,0.067029835628014
eegnet,EEGNet,band_limited_noise,0.0,25.725308641975307,0.9641974814656732,24.984160848837547,26.466456435113063,0.1294978606027067,0.0430947891317406
gru,GRU,band_limited_noise,0.0,34.25154320987654,8.256355823228963,27.905146319848875,40.5979400999042,0.2861158695613156,0.1037435023874147
lstm,LSTM,band_limited_noise,0.0,36.10339506172839,9.986937144959908,28.426755610294517,43.78003451316227,0.317852406079863,0.1216797038144371
riemann_tslr,Riemann-TSLR,band_limited_noise,0.0,25.31635802469136,0.8981660460225094,24.62596648594873,26.006749563433985,0.1069760591521989,0.018558421419691
shallow_convnet,Shallow ConvNet,band_limited_noise,0.0,29.961419753086417,6.525940853311426,24.945137555141766,34.977701951031065,0.204981720028813,0.1026589111729152
cfc,CfC-style,band_limited_noise,5.0,37.50771604938271,11.643932692729376,28.5573970695584,46.45803502920701,0.3041610659799504,0.1520781419242252
eegnet,EEGNet,band_limited_noise,5.0,34.57561728395061,9.1558388046313,27.53781656903643,41.6134179988648,0.2512064454774135,0.1123552183943778
gru,GRU,band_limited_noise,5.0,39.06635802469136,11.082978224995928,30.54722681895191,47.5854892304308,0.3548875284469909,0.1252137655961882
lstm,LSTM,band_limited_noise,5.0,38.38734567901235,11.094322047597869,29.85949483932987,46.91519651869483,0.3455297328658908,0.1331512420518239
riemann_tslr,Riemann-TSLR,band_limited_noise,5.0,25.748456790123456,2.1677842163783625,24.082150334390512,27.4147632458564,0.1141367471567962,0.0348407587779579
shallow_convnet,Shallow ConvNet,band_limited_noise,5.0,44.66049382716049,16.770094461396756,31.76985810191202,57.55112955240895,0.396580620499661,0.2122898600722931
cfc,CfC-style,band_limited_noise,10.0,42.608024691358025,14.187421441864169,31.70260718708369,53.513442195632365,0.3829003930909322,0.1600493819932735
eegnet,EEGNet,band_limited_noise,10.0,44.12037037037037,16.99414245263989,31.05751611369162,57.18322462704912,0.3853265977625691,0.1999536316702422
gru,GRU,band_limited_noise,10.0,40.03086419753086,11.540849302890583,31.159782125452928,48.90194626960879,0.3698528502133819,0.1190062500196782
lstm,LSTM,band_limited_noise,10.0,38.91203703703704,11.6380062977479,29.96627348765745,47.85780058641663,0.3494508426837599,0.1405881180405693
riemann_tslr,Riemann-TSLR,band_limited_noise,10.0,28.40277777777778,5.465193949660653,24.20185782857436,32.6036977269812,0.1599496097332214,0.0806608802697072
shallow_convnet,Shallow ConvNet,band_limited_noise,10.0,51.983024691358025,20.406215174683595,36.2974191657959,67.66863021692015,0.4860820879249286,0.2419676376991997
cfc,CfC-style,band_limited_noise,20.0,44.23611111111112,13.667330042617218,33.73047124595264,54.74175097626959,0.4106090842212294,0.1461627868867948
eegnet,EEGNet,band_limited_noise,20.0,49.336419753086425,15.66003445392377,37.29905168369045,61.3737878224824,0.4626176851342564,0.1609458757779674
gru,GRU,band_limited_noise,20.0,40.77160493827161,11.457830609996815,31.964336682564436,49.57887319397878,0.3792801167482098,0.1164526309815798
lstm,LSTM,band_limited_noise,20.0,38.557098765432094,11.511020376417983,29.70894523595233,47.405252294911854,0.3456193859354221,0.140196597679132
riemann_tslr,Riemann-TSLR,band_limited_noise,20.0,54.83796296296297,12.028832228606012,45.59178400934877,64.08414191657717,0.5205353271981852,0.1369450079870976
shallow_convnet,Shallow ConvNet,band_limited_noise,20.0,59.32098765432099,17.19906239095361,46.10061798926317,72.54135731937882,0.5788847699361921,0.1823225608435543
cfc,CfC-style,channel_dropout,0.1,41.43518518518518,12.439475384416586,31.873357959773493,50.99701241059688,0.3868369660315777,0.1340889694323613
eegnet,EEGNet,channel_dropout,0.1,43.66512345679013,12.943975843263978,33.71550284994027,53.61474406363998,0.4021480882799778,0.1372973687538293
gru,GRU,channel_dropout,0.1,39.48302469135802,9.937844007987442,31.844121565547024,47.12192781716901,0.3739405975858159,0.1000192392748775
lstm,LSTM,channel_dropout,0.1,36.327160493827165,10.202629999551604,28.48472483751914,44.16959615013519,0.3305357007280949,0.1212718902243459
riemann_tslr,Riemann-TSLR,channel_dropout,0.1,32.29938271604939,4.569824954137088,28.78670430224961,35.812061129849155,0.2698105176899342,0.0661897569888081
shallow_convnet,Shallow ConvNet,channel_dropout,0.1,50.81018518518519,14.943631225292297,39.32349338502182,62.29687698534856,0.4892873026619502,0.1612703574419653
cfc,CfC-style,channel_dropout,0.3,35.35493827160494,9.10374318637281,28.35718179373412,42.35269474947575,0.3244504558185941,0.0994513653202607
eegnet,EEGNet,channel_dropout,0.3,36.88271604938271,9.83659440372052,29.32164025894748,44.44379183981793,0.3315314545620076,0.1042331289691973
gru,GRU,channel_dropout,0.3,30.94907407407408,4.204114129907032,27.71750588459545,34.180642263552706,0.2629371189540234,0.0424016163685547
lstm,LSTM,channel_dropout,0.3,30.60185185185185,4.83238037380756,26.88735547689196,34.31634822681175,0.2522668495989322,0.057388992254173
riemann_tslr,Riemann-TSLR,channel_dropout,0.3,28.155864197530864,2.999025511881996,25.850609120203305,30.461119274858422,0.2311972907994746,0.0362156760127268
shallow_convnet,Shallow ConvNet,channel_dropout,0.3,40.57870370370371,9.997648739782475,32.893830591618006,48.26357681578941,0.364259088816681,0.1248594821309588
cfc,CfC-style,channel_dropout,0.5,30.501543209876544,5.015742215008776,26.646102446900432,34.35698397285266,0.2603471939065577,0.0571558426169581
eegnet,EEGNet,channel_dropout,0.5,34.84567901234568,8.66204817189537,28.187439377769543,41.50391864692181,0.3082614275008883,0.0952388124727919
gru,GRU,channel_dropout,0.5,27.669753086419757,2.074957442504068,26.07479960549074,29.264706567348767,0.1961967042825726,0.04609387691453
lstm,LSTM,channel_dropout,0.5,27.445987654320987,2.386449461487912,25.61160021210536,29.280375096536613,0.1950287550178307,0.0348170935427073
riemann_tslr,Riemann-TSLR,channel_dropout,0.5,26.37345679012346,1.592224131041389,25.14956498000569,27.597348600241222,0.2087849719205878,0.0384994731356468
shallow_convnet,Shallow ConvNet,channel_dropout,0.5,34.382716049382715,5.853495707196692,29.88332094731758,38.88211115144785,0.2908038750195796,0.085660232764981
