seed,split_seed,train_seed,subject,model,model_display,accuracy,f1,best_epoch,best_val_accuracy,best_val_loss,best_c
42,3329053876,2134191843,1,cfc,CfC-style,70.0,0.6918632643235436,32.0,78.33333333333333,0.5626564621925354,
42,3329053876,2134191843,1,eegnet,EEGNet,75.625,0.7432521395655036,68.0,85.0,0.3610633909702301,
42,3329053876,2134191843,1,lstm,LSTM,65.3125,0.6112722298221613,50.0,83.33333333333334,0.388963907957077,
42,3329053876,2134191843,1,riemann_tslr,Riemann-TSLR,70.0,0.6742311770943796,,80.0,,0.1
42,3329053876,2134191843,1,shallow_convnet,Shallow ConvNet,74.375,0.7316314842088039,28.0,91.66666666666666,0.1876877397298813,
42,3329053876,2134191843,1,tiny_transformer,Tiny-Transformer,67.1875,0.6339510409517273,22.0,80.0,0.502228319644928,
42,955475868,1385871029,2,cfc,CfC-style,52.85714285714286,0.453125,13.0,56.66666666666666,0.6986687779426575,
42,955475868,1385871029,2,eegnet,EEGNet,52.142857142857146,0.5210375816993464,29.0,55.00000000000001,0.688329815864563,
42,955475868,1385871029,2,lstm,LSTM,54.64285714285714,0.4754465932055878,7.0,60.0,0.6922870874404907,
42,955475868,1385871029,2,riemann_tslr,Riemann-TSLR,55.71428571428572,0.5543919092355871,,58.333333333333336,,1.0
42,955475868,1385871029,2,shallow_convnet,Shallow ConvNet,56.785714285714285,0.5658580965927293,28.0,60.0,0.8559449315071106,
42,955475868,1385871029,2,tiny_transformer,Tiny-Transformer,57.49999999999999,0.557943615257048,9.0,65.0,0.6954486966133118,
42,2541583436,2958905532,3,cfc,CfC-style,48.125,0.4623481781376518,36.0,61.66666666666667,0.7017649412155151,
42,2541583436,2958905532,3,eegnet,EEGNet,49.375,0.4937302238368686,29.0,63.33333333333333,0.6944841742515564,
42,2541583436,2958905532,3,lstm,LSTM,54.0625,0.531357409713574,26.0,61.66666666666667,0.6881536841392517,
42,2541583436,2958905532,3,riemann_tslr,Riemann-TSLR,50.625,0.4767345587017718,,60.0,,0.1
42,2541583436,2958905532,3,shallow_convnet,Shallow ConvNet,57.1875,0.5700232446375504,20.0,61.66666666666667,0.7276747226715088,
42,2541583436,2958905532,3,tiny_transformer,Tiny-Transformer,51.24999999999999,0.4416357209968234,25.0,61.66666666666667,0.699404776096344,
42,964687612,4104139034,4,cfc,CfC-style,93.125,0.9312392561337708,50.0,96.82539682539682,0.1051359102129936,
42,964687612,4104139034,4,eegnet,EEGNet,96.5625,0.9656219784942036,69.0,96.82539682539682,0.0965059399604797,
42,964687612,4104139034,4,lstm,LSTM,95.9375,0.95937460326761,36.0,95.23809523809524,0.1506688147783279,
42,964687612,4104139034,4,riemann_tslr,Riemann-TSLR,94.6875,0.9468744811961054,,90.47619047619048,,0.1
42,964687612,4104139034,4,shallow_convnet,Shallow ConvNet,97.8125,0.978123077223584,25.0,96.82539682539682,0.0671503692865371,
42,964687612,4104139034,4,tiny_transformer,Tiny-Transformer,91.25,0.912156862745098,27.0,95.23809523809524,0.1106238439679145,
42,2103693821,717659619,5,cfc,CfC-style,65.9375,0.6417383087336559,42.0,76.19047619047619,0.5689396858215332,
42,2103693821,717659619,5,eegnet,EEGNet,84.0625,0.8367983679836799,78.0,90.47619047619048,0.2640304267406463,
42,2103693821,717659619,5,lstm,LSTM,64.0625,0.6208960451628189,34.0,73.01587301587301,0.6102911233901978,
42,2103693821,717659619,5,riemann_tslr,Riemann-TSLR,66.875,0.6402969247083775,,69.84126984126983,,10.0
42,2103693821,717659619,5,shallow_convnet,Shallow ConvNet,86.25,0.8617221873035826,22.0,95.23809523809524,0.2368743121623993,
42,2103693821,717659619,5,tiny_transformer,Tiny-Transformer,66.25,0.6387808854885237,21.0,74.60317460317461,0.5952919125556946,
42,709256125,1446345575,6,cfc,CfC-style,83.75,0.8365807668133249,55.0,78.33333333333333,0.4659304022789001,
42,709256125,1446345575,6,eegnet,EEGNet,85.9375,0.858366692567202,29.0,88.33333333333333,0.3448642790317535,
42,709256125,1446345575,6,lstm,LSTM,76.875,0.765079365079365,72.0,76.66666666666667,0.4779225289821625,
42,709256125,1446345575,6,riemann_tslr,Riemann-TSLR,81.5625,0.8125477814513646,,73.33333333333333,,0.1
42,709256125,1446345575,6,shallow_convnet,Shallow ConvNet,85.9375,0.8578634106859078,15.0,91.66666666666666,0.2061693221330642,
42,709256125,1446345575,6,tiny_transformer,Tiny-Transformer,76.25,0.7538461538461538,22.0,80.0,0.4875573515892029,
42,1955881634,891417746,7,cfc,CfC-style,74.0625,0.7406022013653544,40.0,75.0,0.6575329303741455,
42,1955881634,891417746,7,eegnet,EEGNet,81.25,0.8120300751879699,30.0,86.66666666666667,0.4099395871162414,
42,1955881634,891417746,7,lstm,LSTM,76.5625,0.7641857037582904,44.0,76.66666666666667,0.5294339060783386,
42,1955881634,891417746,7,riemann_tslr,Riemann-TSLR,71.875,0.7142857142857143,,78.33333333333333,,0.1
42,1955881634,891417746,7,shallow_convnet,Shallow ConvNet,80.625,0.8062197218315361,10.0,86.66666666666667,0.3578333556652069,
42,1955881634,891417746,7,tiny_transformer,Tiny-Transformer,69.0625,0.6843835616438356,23.0,75.0,0.5636274814605713,
42,3117874100,1387044731,8,cfc,CfC-style,87.5,0.8745098039215686,38.0,78.78787878787878,0.5187374678525057,
42,3117874100,1387044731,8,eegnet,EEGNet,91.25,0.9125,71.0,77.27272727272727,0.4658916050737554,
42,3117874100,1387044731,8,lstm,LSTM,85.0,0.8494117647058823,41.0,75.75757575757575,0.5541807665969386,
42,3117874100,1387044731,8,riemann_tslr,Riemann-TSLR,88.125,0.8811757348342715,,72.72727272727273,,1.0
42,3117874100,1387044731,8,shallow_convnet,Shallow ConvNet,90.9375,0.9093528693528694,33.0,83.33333333333334,0.3821292591817451,
42,3117874100,1387044731,8,tiny_transformer,Tiny-Transformer,90.625,0.906117978407135,49.0,78.78787878787878,0.445811416163589,
42,3918529139,2161680784,9,cfc,CfC-style,77.8125,0.7732331247317623,22.0,80.0,0.4759180247783661,
42,3918529139,2161680784,9,eegnet,EEGNet,88.75,0.8874824191279886,72.0,80.0,0.4303774237632751,
42,3918529139,2161680784,9,lstm,LSTM,83.75,0.836246260431428,66.0,81.66666666666667,0.4558238089084625,
42,3918529139,2161680784,9,riemann_tslr,Riemann-TSLR,79.6875,0.7944156165060539,,76.66666666666667,,0.1
42,3918529139,2161680784,9,shallow_convnet,Shallow ConvNet,90.625,0.906158357771261,9.0,80.0,0.4311418831348419,
42,3918529139,2161680784,9,tiny_transformer,Tiny-Transformer,86.5625,0.8656131886591595,27.0,85.0,0.4595262408256531,
