test_subject,subject,validation_subject,model,model_display,accuracy,f1,best_epoch,best_val_accuracy,best_val_loss,best_c,heldout_subject
1,1,7,shallow_convnet,Shallow ConvNet,59.375,0.5822351855044187,17.0,40.10416666666667,1.3552563852734036,,1
1,1,7,riemann_tslr,Riemann-TSLR,44.09722222222222,0.3542975163457642,,29.34027777777778,,0.1,1
1,1,7,eegnet,EEGNet,60.24305555555556,0.5784446954798027,41.0,36.97916666666667,1.3276936213175456,,1
1,1,7,mi_mamba,MI-Mamba-style,51.388888888888886,0.4765616909122809,13.0,32.63888888888889,1.41789972782135,,1
1,1,7,tiny_transformer,Tiny-Transformer,47.39583333333333,0.4114309676076915,5.0,35.06944444444444,1.3602038754357233,,1
1,1,7,cfc,CfC-style,52.60416666666666,0.4520844891030317,4.0,41.66666666666667,1.3414336575402157,,1
1,1,7,lstm,LSTM,50.69444444444444,0.4658767639176076,28.0,39.58333333333333,1.3140936825010512,,1
2,2,8,shallow_convnet,Shallow ConvNet,28.99305555555556,0.2894506555552434,41.0,66.31944444444444,0.8474660250875685,,2
2,2,8,riemann_tslr,Riemann-TSLR,26.90972222222222,0.2405381557797395,,39.23611111111111,,0.1,2
2,2,8,eegnet,EEGNet,35.9375,0.3038227003955534,16.0,68.92361111111111,0.8955468402968513,,2
2,2,8,mi_mamba,MI-Mamba-style,27.77777777777778,0.2646645173158911,46.0,60.24305555555556,0.946166217327118,,2
2,2,8,tiny_transformer,Tiny-Transformer,27.43055555555556,0.2602018206378882,18.0,61.63194444444444,1.0264126989576552,,2
2,2,8,cfc,CfC-style,27.256944444444443,0.1823798049717043,27.0,65.97222222222221,0.8953656554222107,,2
2,2,8,lstm,LSTM,27.77777777777778,0.2171249199447197,56.0,65.10416666666666,1.0101443065537348,,2
3,3,9,shallow_convnet,Shallow ConvNet,54.513888888888886,0.541405181143258,55.0,63.54166666666666,1.2650404771169026,,3
3,3,9,riemann_tslr,Riemann-TSLR,35.24305555555556,0.2921526217657488,,42.36111111111111,,10.0,3
3,3,9,eegnet,EEGNet,59.895833333333336,0.5950918413791071,42.0,55.55555555555556,1.1908313433329265,,3
3,3,9,mi_mamba,MI-Mamba-style,52.083333333333336,0.4850252165188001,31.0,54.16666666666666,1.1617484158939786,,3
3,3,9,tiny_transformer,Tiny-Transformer,48.26388888888889,0.4785240541821148,24.0,44.79166666666667,1.8162746826807656,,3
3,3,9,cfc,CfC-style,60.59027777777778,0.5857024688072952,37.0,48.95833333333333,1.339957104788886,,3
3,3,9,lstm,LSTM,60.06944444444444,0.5820328869199405,44.0,48.61111111111111,1.4349621931711831,,3
4,4,1,shallow_convnet,Shallow ConvNet,31.59722222222222,0.2416538351601026,52.0,64.0625,0.9623518718613518,,4
4,4,1,riemann_tslr,Riemann-TSLR,34.02777777777778,0.2887906961039622,,51.04166666666666,,0.1,4
4,4,1,eegnet,EEGNet,35.24305555555556,0.3095297569433031,72.0,66.49305555555556,0.9326126641697354,,4
4,4,1,mi_mamba,MI-Mamba-style,31.59722222222222,0.2756087108998191,58.0,47.04861111111111,1.3448118898603652,,4
4,4,1,tiny_transformer,Tiny-Transformer,30.90277777777778,0.2590046283708255,15.0,52.083333333333336,1.2193062172995672,,4
4,4,1,cfc,CfC-style,33.50694444444444,0.2587132196069591,31.0,58.333333333333336,1.249196145269606,,4
4,4,1,lstm,LSTM,37.84722222222222,0.3239080560516976,33.0,59.375,1.013943122492896,,4
5,5,2,shallow_convnet,Shallow ConvNet,25.17361111111111,0.1126582278481012,40.0,31.944444444444443,2.7831669913397894,,5
5,5,2,riemann_tslr,Riemann-TSLR,25.86805555555556,0.1251292155182315,,28.29861111111111,,10.0,5
5,5,2,eegnet,EEGNet,26.90972222222222,0.1678451178451178,53.0,32.46527777777778,1.8978292809592352,,5
5,5,2,mi_mamba,MI-Mamba-style,26.5625,0.16027736565494,4.0,29.86111111111111,2.39149194293552,,5
5,5,2,tiny_transformer,Tiny-Transformer,26.90972222222222,0.1527270877772709,10.0,32.29166666666667,2.0073184967041016,,5
5,5,2,cfc,CfC-style,26.90972222222222,0.1714024592888002,33.0,33.15972222222222,2.395587576760186,,5
5,5,2,lstm,LSTM,28.819444444444443,0.1946578087682213,57.0,31.42361111111111,2.330677111943563,,5
6,6,3,shallow_convnet,Shallow ConvNet,28.125,0.2607673098178685,11.0,64.40972222222221,0.8900407287809584,,6
6,6,3,riemann_tslr,Riemann-TSLR,28.64583333333333,0.2088024424286742,,43.57638888888889,,0.1,6
6,6,3,eegnet,EEGNet,31.07638888888889,0.2788171772796672,26.0,74.82638888888889,0.8493874602847629,,6
6,6,3,mi_mamba,MI-Mamba-style,31.77083333333333,0.294427747127808,16.0,67.53472222222221,0.842296818892161,,6
6,6,3,tiny_transformer,Tiny-Transformer,33.33333333333333,0.2863681047475623,11.0,59.201388888888886,1.013465940952301,,6
6,6,3,cfc,CfC-style,31.77083333333333,0.2961733222330924,25.0,63.71527777777778,0.8326076534059312,,6
6,6,3,lstm,LSTM,33.50694444444444,0.31675534141144,13.0,61.458333333333336,1.012333717611101,,6
7,7,4,shallow_convnet,Shallow ConvNet,36.63194444444444,0.3447938923634315,14.0,40.79861111111111,1.337214297718472,,7
7,7,4,riemann_tslr,Riemann-TSLR,33.68055555555556,0.3253823014283197,,35.06944444444444,,10.0,7
7,7,4,eegnet,EEGNet,32.8125,0.2538270376728031,24.0,40.79861111111111,1.2754390637079875,,7
7,7,4,mi_mamba,MI-Mamba-style,32.8125,0.2928824678208577,4.0,33.50694444444444,1.3481905857721963,,7
7,7,4,tiny_transformer,Tiny-Transformer,39.58333333333333,0.3817346379650488,7.0,39.23611111111111,1.2956608401404486,,7
7,7,4,cfc,CfC-style,30.20833333333333,0.208936814057374,31.0,42.36111111111111,1.5584410561455622,,7
7,7,4,lstm,LSTM,27.95138888888889,0.1632122604691245,21.0,37.5,1.6944897572199504,,7
8,8,5,shallow_convnet,Shallow ConvNet,55.208333333333336,0.5298002446164738,9.0,28.29861111111111,2.310629235373603,,8
8,8,5,riemann_tslr,Riemann-TSLR,42.1875,0.3613306764353338,,25.694444444444443,,10.0,8
8,8,5,eegnet,EEGNet,68.75,0.6839652703100768,37.0,27.95138888888889,1.872219032711453,,8
8,8,5,mi_mamba,MI-Mamba-style,53.29861111111112,0.4992887704882099,35.0,27.604166666666668,2.075754284858704,,8
8,8,5,tiny_transformer,Tiny-Transformer,50.0,0.4807786493021804,17.0,30.55555555555556,3.1653880543178983,,8
8,8,5,cfc,CfC-style,63.71527777777778,0.6362368716737649,41.0,32.46527777777778,4.113966676923964,,8
8,8,5,lstm,LSTM,53.47222222222222,0.5164796200031375,13.0,28.125,1.9634652932484944,,8
9,9,6,shallow_convnet,Shallow ConvNet,52.77777777777778,0.5273904294371732,13.0,32.63888888888889,1.7254594299528334,,9
9,9,6,riemann_tslr,Riemann-TSLR,36.80555555555556,0.3033754812251205,,26.21527777777778,,0.1,9
9,9,6,eegnet,EEGNet,54.86111111111112,0.5436787037209938,10.0,35.41666666666667,1.6270959112379286,,9
9,9,6,mi_mamba,MI-Mamba-style,40.27777777777778,0.385391560936663,11.0,30.55555555555556,1.5728303061591251,,9
9,9,6,tiny_transformer,Tiny-Transformer,38.36805555555556,0.331726245210719,4.0,29.6875,1.473714550336202,,9
9,9,6,cfc,CfC-style,31.59722222222222,0.1977695982795482,10.0,29.34027777777778,1.5459247165256076,,9
9,9,6,lstm,LSTM,32.29166666666667,0.2346099184935459,15.0,31.77083333333333,1.7685019572575886,,9
